Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,Dont know
TOTAL,48.8,5,5.1,3.7,10.7,4.3,2.8,3.1,1.7,7.8,7.1
Argentina,28.7,4.4,4,3.9,21.5,4.4,4.6,4,1.2,12.2,10.9
China,81.3,4.4,1.6,0.9,2.2,0.2,0.1,0.3,0.1,1.1,7.9
India,69,4.2,7.1,3,2.6,1.4,0.8,0.5,0.2,1.3,9.8
Japan,39,6.9,7,3.9,14.7,6.9,3.6,3.7,2.6,3.7,8
Mexico,53,6.8,6.2,4.3,12.5,4,2.5,2.9,1,4.1,2.6
Peru,42,8.4,7,5.1,12.1,5.5,3.9,2.9,1.7,6.2,5
South Africa,56.8,5.3,5.3,4.5,9.9,3.8,2.2,2,0.6,3.4,6.3
Spain,22.3,3.5,2.9,4.2,18.9,5.1,5.6,7.4,4.7,19.1,6.3
Sweden,11.4,1.7,4.4,3.2,3.6,14.4,3.7,8,8.3,34.6,6.8
United States,41.9,4.3,4.1,4.2,16.2,3.3,3.6,4.2,1.1,9.8,7.3
