Country,Not at all important,2,3,4,5,6,7,8,9,Very important,No answer,Dont know
TOTAL,4.7,2.3,3.2,1.7,4.9,4,14.2,6.1,5.5,50.7,1.9,0.7
Argentina,3.4,1.2,1.4,1.5,5.7,3.7,5.4,10.5,5.8,60.2,1.2,0
India,0,0,6.3,0,0,0,87,0,0,0,0.9,5.8
Japan,11.1,8.6,11.5,3.2,10.1,18.9,8.1,7.6,2.5,6,12.3,0
Mexico,1.1,0.3,0.2,0.4,2.1,2.1,1.6,5.1,4.3,81.5,1.2,0
Peru,1.3,0.4,0.5,0.9,2.3,2.1,4.9,7.3,8.3,71.2,0.7,0
South Africa,0.4,0.5,0.3,1.9,5.3,2,4.5,6.6,7.8,68.9,1.9,0
Spain,12.9,7.1,6.6,4.1,12.6,10.7,11.9,10.5,6.3,15.4,1.8,0
Sweden,28.3,11.2,10.7,7.5,12,6,5.5,5.3,2.8,8.8,1.9,0
Turkey,2.5,0.6,0.9,0.6,3.1,1.2,1.7,4.5,6.3,78.3,0,0.3
United States,3.7,1.7,2.1,1.8,3.8,3.9,6.1,8.6,9.9,58.2,0.2,0
