Country,Never justifiable,2,3,4,5,6,7,8,9,Always justifiable,HT/RU,No answer,Dont know
TOTAL,46.9,5.1,4.7,3.2,11.8,5,5.2,4.2,2.3,7.8,3.7,0.2
Argentina,63.2,3.1,2.4,2.1,12.9,4,2,1.9,0.9,3.7,3.7,0
China,54.5,7.4,3.6,1.8,8.5,2.3,1.7,3,2.1,12.4,0.1,2.6
India,58.6,0.1,3.7,0,2.2,0,14.7,0,0.2,10,10.3,0.1
Japan,13.1,6.6,11.2,6.8,19.2,13.1,5.6,7.9,2.3,4,10.1,0
Mexico,67.1,3.2,3.4,1.5,7.3,2.3,2,2.9,2.1,5.3,3.1,0
Peru,73.1,9.1,4,3.1,5.5,1.3,0.5,0.8,0.6,1.3,0.7,0
South Africa,52.2,6.8,4.1,3.6,15.9,4.4,3.2,3.4,2.5,2.4,1.4,0
Spain,22.6,6.7,5.4,5.2,20.5,8,6.8,7.4,3.9,10.9,2.6,0
Sweden,5.3,1.6,4.2,3.2,11.5,7.5,8.1,13.8,7.9,34.7,2.2,0
United States,29.5,7,6.2,5.5,15.3,12.1,5.8,7,2.8,8.1,0.7,0
