Country,Good thing,Dont mind,Bad thing,Inapplicable,No answer,Dont know
TOTAL,58.9,24.8,10.4,0.1,1.5,4.3
Argentina,76.3,20.5,2.7,0,0.6,0
Australia,58.8,33.2,5.3,0,2.7,0
Brazil,77.4,18.1,4,0,0.5,0.1
China,47.5,19.6,8.5,0,0.5,23.9
Germany,49,29.7,17.2,0,1.4,2.7
India,37.7,50,11.5,0,0,0.7
Iraq,75.6,8.2,1,0,2.6,12.7
Japan,3.2,14.1,80.3,0,2.4,0
Jordan,90.5,6.4,0.8,0,2.4,0
Malaysia,51.5,43.9,4.6,0,0.1,0
Mexico,83.6,10.3,3.4,0,1,1.7
Netherlands,69.9,21,5.9,0.5,1.1,1.5
New Zealand,50.7,37.8,5.5,0,6,0
Peru,84.6,10.6,2.6,0,2.2,0
Poland,41,36.6,10.5,0,0.1,11.9
Romania,67.6,19.8,1.5,0,1.9,9.2
Russia,39.6,42.8,5.1,0.1,0.8,11.6
South Africa,78.4,19.6,2,0,0,0
Spain,77.5,13.3,4.5,0.2,0.8,3.8
Sweden,23.3,16.7,55.5,0,4.6,0
Thailand,26.9,39.1,33.4,0,0.5,0
Turkey,52.6,35,7.3,0,0.5,4.6
United States,58.2,33,6.6,1.6,0.5,0
Uruguay,62.3,21.9,8.5,0,7.3,0
